City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
8,Saint-Philippe,RE,79.48,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
30,Pitimbu,BR,79.39,scattered clouds,-7.4706,-34.8086,Reserva do Abiaí
56,Cabo San Lucas,MX,80.51,scattered clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
66,San Andres,CO,82.42,broken clouds,12.5847,-81.7006,Hotel Arena Blanca
97,Niono,ML,83.75,clear sky,14.2526,-5.992999999999999,Hôtel Campement
108,Mahebourg,MU,78.26,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
126,Mayumba,GA,76.64,moderate rain,-3.432,10.6554,LIKWALE LODGE
131,Isangel,VU,80.71,broken clouds,-19.55,169.2667,Tanna Lodge
133,Atuona,PF,78.39,clear sky,-9.8,-139.0333,Villa Enata
136,Cayenne,GF,81.09,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
137,Kapaa,US,82.38,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
150,Omboue,GA,76.48,overcast clouds,-1.5746,9.2618,Hotel Olako
152,Murud,IN,77.45,overcast clouds,18.3258,72.965,On Point Plaza
157,Meulaboh,ID,76.32,overcast clouds,4.1363,96.1285,Kost Pria
163,Morondava,MG,75.54,clear sky,-20.2833,44.2833,La Case Bambou
167,Touros,BR,81.5,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
169,Segou,ML,83.66,broken clouds,13.4317,-6.2157,Comme chez soi
171,Kavieng,PG,85.12,light rain,-2.5744,150.7967,Nusa Island Retreat
189,Yarada,IN,79.12,haze,17.65,83.2667,MR-SAGAR_KUMAR_RTR™
209,Cap Malheureux,MU,78.48,few clouds,-19.9842,57.6142,Pereybere Hotel & Spa
220,Oussouye,SN,78.98,few clouds,12.485,-16.5469,Auberge du Routard
223,Padang,ID,84.25,overcast clouds,-0.9492,100.3543,Mercure Padang
227,Ratnagiri,IN,77.58,overcast clouds,16.9833,73.3,Hotel Landmark
229,Acapulco,MX,78.46,few clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
230,Boueni,YT,78.78,clear sky,-12.9025,45.0761,The feet in water
236,Sao Filipe,CV,78.01,overcast clouds,14.8961,-24.4956,Hotel Xaguate
241,Malakal,SS,76.62,scattered clouds,9.5334,31.6605,Nile Palace Hotel
243,Phimai,TH,85.23,broken clouds,15.2232,102.4947,Benya Guest House
245,Saint-Pierre,RE,79.57,clear sky,-21.3393,55.4781,Lindsey Hôtel
246,Coahuayana,MX,76.73,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
257,Singaraja,ID,86.97,broken clouds,-8.112,115.0882,Puri Bagus Lovina Resort
270,Bambous Virieux,MU,78.22,broken clouds,-20.3428,57.7575,Casa Tia Villa
277,Namatanai,PG,86.63,broken clouds,-3.6667,152.4333,Seagulls Inn Namatani
278,Karambakkudi,IN,75.6,moderate rain,10.4667,79.1333,Chendur Muruga Lodge
281,Bengkulu,ID,82.06,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
284,Bonthe,SL,77.72,light rain,7.5264,-12.505,Bonthe Holiday Village
287,Carutapera,BR,77.85,broken clouds,-1.195,-46.02,Lidera
293,Souillac,MU,78.37,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
294,Teahupoo,PF,75.16,light rain,-17.8333,-149.2667,Vanira Lodge
299,Douentza,ML,87.8,overcast clouds,14.9951,-2.9517,Ogomono Doumbo
310,Port Blair,IN,84.24,scattered clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
320,Bubaque,GW,82.33,moderate rain,11.2833,-15.8333,"Casa Dora, Bubaque"
326,Poum,NC,76.05,overcast clouds,-20.2333,164.0167,Gîte kajeon
328,Achutupo,PA,79.23,overcast clouds,9.2,-77.9833,Akwa Reef Lodge
336,Coruripe,BR,76.41,scattered clouds,-10.1256,-36.1756,Pousada e Hotel Litoral Sul
351,San Pedro,PH,87.35,broken clouds,14.35,121.0167,Villa Veronica Resort Private Pool
359,Luwuk,ID,85.8,overcast clouds,-0.9516,122.7875,Hotel Santika Luwuk
361,Kieta,PG,86.32,clear sky,-6.2167,155.6333,Uruna Bay Retreat
363,Moussoro,TD,79.65,overcast clouds,13.6408,16.4901,Hôtel Salama
